Gene	TPM	Tissue	Source
BRCA1	0.505728	adipose_subcutaneous	GTEx.v10
BRCA1	2.69054	adipose_subcutaneous	GTEx.v10
BRCA1	0.34384	adipose_subcutaneous	GTEx.v10
BRCA1	2.71086	adipose_subcutaneous	GTEx.v10
BRCA1	0.897966	adipose_subcutaneous	GTEx.v10
BRCA1	1.09028	adipose_subcutaneous	GTEx.v10
BRCA1	1.61083	adipose_subcutaneous	GTEx.v10
BRCA1	1.88793	adipose_subcutaneous	GTEx.v10
BRCA1	1.48976	adipose_subcutaneous	GTEx.v10
BRCA1	0.874038	adipose_subcutaneous	GTEx.v10
BRCA1	1.20092	adipose_subcutaneous	GTEx.v10
BRCA1	0.958436	adipose_subcutaneous	GTEx.v10
BRCA1	1.95275	adipose_subcutaneous	GTEx.v10
BRCA1	2.63623	adipose_subcutaneous	GTEx.v10
BRCA1	1.7693	adipose_subcutaneous	GTEx.v10
BRCA1	0.790643	adipose_subcutaneous	GTEx.v10
BRCA1	1.39933	adipose_subcutaneous	GTEx.v10
BRCA1	1.67694	adipose_subcutaneous	GTEx.v10
BRCA1	1.74247	adipose_subcutaneous	GTEx.v10
BRCA1	1.46294	adipose_subcutaneous	GTEx.v10
BRCA1	0.776875	adipose_subcutaneous	GTEx.v10
BRCA1	1.4185	adipose_subcutaneous	GTEx.v10
BRCA1	1.69175	adipose_subcutaneous	GTEx.v10
BRCA1	1.60242	adipose_subcutaneous	GTEx.v10
BRCA1	1.80082	adipose_subcutaneous	GTEx.v10
BRCA1	1.90305	adipose_subcutaneous	GTEx.v10
BRCA1	1.60895	adipose_subcutaneous	GTEx.v10
BRCA1	1.56678	adipose_subcutaneous	GTEx.v10
BRCA1	3.27809	adipose_subcutaneous	GTEx.v10
BRCA1	1.98959	adipose_subcutaneous	GTEx.v10
BRCA1	1.78818	adipose_subcutaneous	GTEx.v10
BRCA1	0.636328	adipose_subcutaneous	GTEx.v10
BRCA1	1.75768	adipose_subcutaneous	GTEx.v10
BRCA1	2.54195	adipose_subcutaneous	GTEx.v10
BRCA1	2.94216	adipose_subcutaneous	GTEx.v10
BRCA1	0.538943	adipose_subcutaneous	GTEx.v10
BRCA1	2.74361	adipose_subcutaneous	GTEx.v10
BRCA1	2.04887	adipose_subcutaneous	GTEx.v10
BRCA1	1.77643	adipose_subcutaneous	GTEx.v10
BRCA1	1.57147	adipose_subcutaneous	GTEx.v10
BRCA1	1.7705	adipose_subcutaneous	GTEx.v10
BRCA1	0.874599	adipose_subcutaneous	GTEx.v10
BRCA1	0.776569	adipose_subcutaneous	GTEx.v10
BRCA1	1.12089	adipose_subcutaneous	GTEx.v10
BRCA1	1.76793	adipose_subcutaneous	GTEx.v10
BRCA1	2.71924	adipose_subcutaneous	GTEx.v10
BRCA1	0.942132	adipose_subcutaneous	GTEx.v10
BRCA1	1.43929	adipose_subcutaneous	GTEx.v10
BRCA1	1.25343	adipose_subcutaneous	GTEx.v10
BRCA1	1.7372	adipose_subcutaneous	GTEx.v10
BRCA1	2.68694	adipose_subcutaneous	GTEx.v10
BRCA1	0.656579	adipose_subcutaneous	GTEx.v10
BRCA1	0.957949	adipose_subcutaneous	GTEx.v10
BRCA1	2.65577	adipose_subcutaneous	GTEx.v10
BRCA1	1.47583	adipose_subcutaneous	GTEx.v10
BRCA1	2.15838	adipose_subcutaneous	GTEx.v10
BRCA1	1.28515	adipose_subcutaneous	GTEx.v10
BRCA1	1.17899	adipose_subcutaneous	GTEx.v10
BRCA1	0.880857	adipose_subcutaneous	GTEx.v10
BRCA1	2.12278	adipose_subcutaneous	GTEx.v10
BRCA1	0.963168	adipose_subcutaneous	GTEx.v10
BRCA1	1.79145	adipose_subcutaneous	GTEx.v10
BRCA1	1.60969	adipose_subcutaneous	GTEx.v10
BRCA1	2.06495	adipose_subcutaneous	GTEx.v10
BRCA1	1.71534	adipose_subcutaneous	GTEx.v10
BRCA1	1.83612	adipose_subcutaneous	GTEx.v10
BRCA1	2.89951	adipose_subcutaneous	GTEx.v10
BRCA1	1.24839	adipose_subcutaneous	GTEx.v10
BRCA1	2.69557	adipose_subcutaneous	GTEx.v10
BRCA1	1.57773	adipose_subcutaneous	GTEx.v10
BRCA1	1.70149	adipose_subcutaneous	GTEx.v10
BRCA1	1.89375	adipose_subcutaneous	GTEx.v10
BRCA1	1.9764	adipose_subcutaneous	GTEx.v10
BRCA1	2.33961	adipose_subcutaneous	GTEx.v10
BRCA1	1.01756	adipose_subcutaneous	GTEx.v10
BRCA1	2.01378	adipose_subcutaneous	GTEx.v10
BRCA1	1.81002	adipose_subcutaneous	GTEx.v10
BRCA1	2.3223	adipose_subcutaneous	GTEx.v10
BRCA1	1.30488	adipose_subcutaneous	GTEx.v10
BRCA1	1.34149	adipose_subcutaneous	GTEx.v10
BRCA1	1.05543	adipose_subcutaneous	GTEx.v10
BRCA1	1.54141	adipose_subcutaneous	GTEx.v10
BRCA1	0.847261	adipose_subcutaneous	GTEx.v10
BRCA1	1.09063	adipose_subcutaneous	GTEx.v10
BRCA1	1.66602	adipose_subcutaneous	GTEx.v10
BRCA1	1.68572	adipose_subcutaneous	GTEx.v10
BRCA1	1.01605	adipose_subcutaneous	GTEx.v10
